fixture_id,league_id,season,date,home_team_id,away_team_id,home_team_name,away_team_name,goals_home,goals_away,score_p1_home,score_p1_away,score_p2_home,score_p2_away,score_p3_home,score_p3_away,score_ot_home,score_ot_away,score_pen_home,score_pen_away,status_short,created_at,reg_goals_home,reg_goals_away,target,home_elo,away_elo,elo_diff,home_rolling_goals,home_rolling_conceded,home_btts_rate,home_rest_days,away_rolling_goals,away_rolling_conceded,away_btts_rate,away_rest_days,form_diff,defensive_diff,btts_interaction,rest_diff
194138,146,2022,2022-09-09 16:00:00,349,751,Stavanger,Salzburg,2,3,0,1,2,1,0,0,0,0,0,3,AP,2026-01-02 16:14:47.584824,2,2,1,1515.6471999915343,1499.3528000084657,16.294399983068615,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
194211,146,2022,2022-09-09 16:00:00,171,549,Ilves,Fribourg,0,2,0,2,0,0,0,0,0,0,0,0,FT,2026-01-02 16:14:47.584824,0,2,0,1485.6471999915343,1499.3528000084657,-13.705600016931385,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,-1.0
194201,146,2022,2022-09-09 17:05:00,538,173,Luleå,Jukurit,4,3,0,1,1,1,3,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,4,3,2,1528.7080052393337,1501.2919947606663,27.41601047866743,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
194171,146,2022,2022-09-09 17:30:00,256,355,Straubing Tigers,Krakow,3,2,2,0,0,1,1,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,3,2,2,1500.0,1500.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
194195,146,2022,2022-09-09 17:30:00,154,134,Aalborg,Sparta Prague,2,6,0,3,1,1,1,2,0,0,0,0,FT,2026-01-02 16:14:47.584824,2,6,0,1498.7080052393337,1471.2919947606663,27.41601047866743,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
194191,146,2022,2022-09-09 17:45:00,548,592,Davos,Belfast,5,1,4,0,0,1,1,0,0,0,0,0,FT,2026-01-02 16:14:47.584824,5,1,2,1528.7080052393337,1471.2919947606663,57.41601047866743,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
194157,146,2022,2022-09-09 18:20:00,754,1523,Villach,Farjestad,1,2,0,1,0,0,1,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,1,2,0,1470.0,1530.0,-60.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
194153,146,2022,2022-09-10 12:30:00,556,747,Zurich,Fehervar AV19,5,1,1,0,0,1,4,0,0,0,0,0,FT,2026-01-02 16:14:47.584824,5,1,2,1527.5268115601457,1458.748521442065,68.77829011808058,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194139,146,2022,2022-09-10 12:35:00,542,354,Rögle,Katowice,5,1,2,0,1,1,2,0,0,0,0,0,FT,2026-01-02 16:14:47.584824,5,1,2,1541.251478557935,1472.4731884398543,68.77829011808058,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194173,146,2022,2022-09-10 14:00:00,130,534,Mountfield HK,Frölunda,5,3,0,1,3,0,2,2,0,0,0,0,FT,2026-01-02 16:14:47.584824,5,3,2,1513.7080052393337,1543.7080052393337,-30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
