api_name,csv_name,league,confidence
Alcorcon,Alcorcon,SP2,100
Tenerife,Tenerife,SP2,100
Numancia,Numancia,SP2,100
Villarreal B,Villarreal B,SP2,100
Salamanca,Salamanca,SP2,100
Celta,Celta,SP2,100
Las Palmas,Las Palmas,SP2,100
Huesca,Huesca,SP2,100
Xerez,Xerez,SP2,100
Elche,Elche,SP2,100
Cordoba,Cordoba,SP2,100
Girona,Girona,SP2,100
Bursaspor,Bursaspor,T1,100
Gaziantepspor,Gaziantepspor,T1,100
Kayserispor,Kayserispor,T1,100
Konyaspor,Konyaspor,T1,100
Karabukspor,Karabukspor,T1,100
Eskisehirspor,Eskisehirspor,T1,100
Trabzonspor,Trabzonspor,T1,100
Fenerbahce,Fenerbahce,T1,100
Manisaspor,Manisaspor,T1,100
Sivasspor,Sivasspor,T1,100
Antalyaspor,Antalyaspor,T1,100
Buyuksehyr,Buyuksehyr,T1,100
Ankaragucu,Ankaragucu,T1,100
Bucaspor,Bucaspor,T1,100
Kasimpasa,Kasimpasa,T1,100
Besiktas,Besiktas,T1,100
Genclerbirligi,Genclerbirligi,T1,100
Galatasaray,Galatasaray,T1,100
Bergen,Bergen,B1,100
Oud-Heverlee Leuven,Oud-Heverlee Leuven,B1,100
Hansa Rostock,Hansa Rostock,D2,100
Braunschweig,Braunschweig,D2,100
Dresden,Dresden,D2,100
AFC Telford United,AFC Telford United,EC,100
Ebbsfleet,Ebbsfleet,EC,100
Braintree Town,Braintree Town,EC,100
Alfreton Town,Alfreton Town,EC,100
Bastia,Bastia,F2,100
Guingamp,Guingamp,F2,100
Amiens,Amiens,F2,100
OFI,OFI,G1,100
Giannina,Giannina,G1,100
Levadeiakos,Levadeiakos,G1,100
Panetolikos,Panetolikos,G1,100
Doxa Dramas,Doxa Dramas,G1,100
Juve Stabia,Juve Stabia,I2,100
Nocerina,Nocerina,I2,100
Verona,Verona,I2,100
Gubbio,Gubbio,I2,100
Waalwijk,Waalwijk,N1,100
Gil Vicente,Gil Vicente,P1,100
Feirense,Feirense,P1,100
Feirense,Feirense ,P1,100
Alcoyano,Alcoyano,SP2,100
Sabadell,Sabadell,SP2,100
Guadalajara,Guadalajara,SP2,100
Murcia,Murcia,SP2,100
Mersin Idman Yurdu,Mersin Idman Yurdu,T1,100
Orduspor,Orduspor,T1,100
Samsunspor,Samsunspor,T1,100
Waasland-Beveren,Waasland-Beveren,B1,100
Regensburg,Regensburg,D2,100
